iter	Logloss
0	0.5957692253
1	0.5243807938
2	0.4596074314
3	0.4053396972
4	0.3565986354
5	0.3167962186
6	0.2840171256
7	0.2571075076
8	0.2325556058
9	0.2101394078
10	0.1909765501
11	0.1784867454
12	0.1685867111
13	0.1573460322
14	0.1506710059
15	0.1441835556
16	0.137649606
17	0.1340276618
18	0.1300617942
19	0.1269143905
20	0.1230193477
21	0.1202678991
22	0.1167968794223	0.1149126612224	0.1130811657225	0.1115851646226	0.108742978727	0.1535305225
28	0.1523860582
29	0.1512747864
30	0.1501391302
31	0.1484698867
32	0.1474316265
33	0.1460271235
34	0.1450128284
35	0.1439021782
36	0.1430287753
37	0.1424235657
38	0.141893936
39	0.1411827672
40	0.1405261477
41	0.139904586
42	0.1394566983
43	0.1388770243
44	0.1384732728
45	0.1380822165
46	0.1375383435
47	0.1371393022
48	0.1366948428
49	0.1362891463
50	0.1359950364
51	0.1357322161
52	0.1353826902
53	0.1349098824
54	0.1346211099
55	0.1343834835
56	0.1341935142
57	0.1340496152
58	0.1337918437
59	0.1335990874
60	0.1333621691
61	0.1331290426
62	0.1328925351
63	0.1327099051
64	0.1324091035
65	0.132241957
66	0.1320749222
67	0.1317758296
68	0.1316087038
69	0.1314161714
70	0.1312734936
71	0.1310551429
72	0.130848334
73	0.1307180907
74	0.1305382865
75	0.1304009793
76	0.1301298724
77	0.1298658541
78	0.1296981704
79	0.1295412714
80	0.1293298751
81	0.1292434964
82	0.129012626
83	0.1288706262
84	0.1286866283
85	0.1285337001
86	0.128397006
87	0.1282574567
88	0.1280405818
89	0.1278600138
90	0.1276847373
91	0.1275463537
92	0.1273220767
93	0.127182858
94	0.1270888859
95	0.1269243485
96	0.1267446736
97	0.1265322215
98	0.126405442
99	0.1262759016
100	0.1260622144
101	0.1258856023
102	0.125772343
103	0.1256959109
104	0.1255355646
105	0.1254169637
106	0.1252667838
107	0.1251635736
108	0.1250598925
109	0.1249631592
110	0.1248472077
111	0.1246274002
112	0.124469904
113	0.1243763989
114	0.1242034976
115	0.1240632871
116	0.1239507815
117	0.123835579
118	0.1237022589
119	0.1235328672
120	0.1233071936
121	0.1231579423
122	0.1230582385
123	0.1228722701
124	0.1227551106
125	0.1226238365
126	0.1225381398
127	0.1224170107
128	0.1223302974
129	0.1222611657
130	0.1221951737
131	0.1220966717
132	0.1220171562
133	0.1219425895
134	0.1218498403
135	0.1217335586
136	0.1216449415
137	0.1215542389
138	0.121449243
139	0.1213197339
140	0.1212070126
141	0.1210914015
142	0.1209785501
143	0.1208389296
144	0.1207394
145	0.1206485342
146	0.1205438188
147	0.1204560854
148	0.1203247181
149	0.1202219626
150	0.1201049911
151	0.1199919804
152	0.1198727675
153	0.1197451387
154	0.1196404484
155	0.1194874809
156	0.1194125637
157	0.1192899414
158	0.1191135607
159	0.1190416438
160	0.1189303466
161	0.1187743871
162	0.1186559724
163	0.118537908
164	0.1184249466
165	0.1182666951
166	0.1181459328
167	0.118067336
168	0.1179569426
169	0.1178458739
170	0.1177093087
171	0.1175661954
172	0.1174704693
173	0.1173554456
174	0.1172088239
175	0.1170934413
176	0.1169839408
177	0.116838457
178	0.1167142332
179	0.116616502
180	0.116502581
181	0.1163982613
182	0.1162955818
183	0.1161933823
184	0.1160901653
185	0.1159391246
186	0.1157516042
187	0.1156536552
188	0.1155125669
189	0.1154602807
190	0.1153562388
191	0.1152214072
192	0.1151251589
193	0.1150068253
194	0.1149255726
195	0.1148086119
196	0.1147202337
197	0.1145456989
198	0.1144193285
199	0.1143215908
200	0.1142260812
201	0.114134159
202	0.114035789
203	0.1138816224
204	0.1137737987
205	0.1136044608
206	0.1135238003
207	0.1134084341
208	0.1133248202
209	0.1132729433
210	0.113197502
211	0.1130835435
212	0.113001535
213	0.1129175195
214	0.1127500693
215	0.1126539733
216	0.1125455057
217	0.1124266466
218	0.112314658
219	0.1122527276
220	0.1121480502
221	0.1119844927
222	0.1118085809
223	0.1116906467
224	0.1115704409
225	0.1113531819
226	0.1112582865
227	0.1111744022
228	0.1110541496
229	0.110957399
230	0.1108514712
231	0.1107551738
232	0.1106654539
233	0.1105651205
234	0.1104789577
235	0.1104070429
236	0.1102931797
237	0.1101769972
238	0.1100340929
239	0.1099388213
240	0.1097896822
241	0.1096987549
242	0.1096053141
243	0.1094545703
244	0.1093361242
245	0.1092710128
246	0.1091551093
247	0.1090779637
248	0.1089474276
249	0.1088722217
250	0.1087904508
251	0.1087042665
252	0.1086026255
253	0.1085314497
254	0.1084799224
255	0.1083459846
256	0.1082571567
257	0.1081863431
258	0.108096386
259	0.1079890179
260	0.1078994978
261	0.1078283296
262	0.1077303308
263	0.1076315894
264	0.1075370891
265	0.1074621882
266	0.1073691802
267	0.1072784668
268	0.1072155526
269	0.1071052668
270	0.1069942392
271	0.1069140883
272	0.1068412311
273	0.1067621279
274	0.1066619765
275	0.1064779843
276	0.1064073586
277	0.1062954368
278	0.1061930308
279	0.1060824654
280	0.1060001678
281	0.1059119913
282	0.1058207613
283	0.1057050353
284	0.1056354303
285	0.1054957396
286	0.1054080381
287	0.105329685
288	0.1051616112
289	0.1050624369
290	0.1049982628
291	0.1049135396
292	0.1048351329
293	0.1047546371
294	0.1046401798
295	0.1045692813
296	0.1044984454
297	0.1043871414
298	0.1042944444
299	0.1041784697
0.05436599582
286	0.05422643503
287	0.05411571935
288	0.05398561078
289	0.05384885659
290	0.05373012721
291	0.05365354945
292	0.05353848101
293	0.05341535083
294	0.05329007335
295	0.05319594836
296	0.05303901678
297	0.05295167929
298	0.05284065594
299	0.05274904886
